"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"860Z200US89010","ZCTA5 89010","160","74","0.0","21.9","0.0","21.9","8.8","9.7","20.0","13.5","13.1","11.6","20.0","17.6","17.5","19.8","19.4","15.5","1.3","1.7","0.0","21.9","63690","27377","70166","14639","51.9","(X)","(X)","(X)","(X)","(X)","126","63","0.0","26.7","0.0","26.7","0.0","26.7","15.9","14.4","16.7","14.9","19.0","19.8","22.2","24.3","24.6","20.1","1.6","2.2","0.0","26.7","64762","22058","79528","17504","(X)","(X)","58.7","(X)","(X)","(X)","92","57","0.0","33.6","0.0","33.6","0.0","33.6","15.2","17.8","12.0","15.3","26.1","27.7","30.4","30.9","14.1","19.3","2.2","3.1","0.0","33.6","64643","19225","N","N","(X)","(X)","(X)","(X)","(X)","(X)","34","25","0.0","56.4","0.0","56.4","41.2","34.1","35.3","32.1","0.0","56.4","23.5","34.7","0.0","56.4","0.0","56.4","0.0","56.4","0.0","56.4","25938","7803","35471","14754","(X)","(X)","(X)","(X)","26.5","(X)",
"860Z200US89019","ZCTA5 89019","1222","307","0.2","0.5","7.0","4.5","7.4","7.7","32.6","17.5","9.6","4.9","8.5","7.3","8.8","5.7","15.6","9.1","8.5","8.2","1.7","2.8","45054","26804","69988","19335","38.5","(X)","(X)","(X)","(X)","(X)","628","171","0.0","6.2","6.4","1.9","2.2","2.9","11.1","9.6","16.1","8.4","12.6","12.5","10.7","9.4","28.2","13.9","9.4","12.3","3.3","5.1","76000","42821","91870","23330","(X)","(X)","55.4","(X)","(X)","(X)","505","154","0.0","7.6","7.9","2.5","2.8","3.6","12.7","11.5","6.7","7.2","15.6","15.5","13.3","11.7","25.1","13.2","11.7","15.1","4.2","6.4","77150","42554","N","N","(X)","(X)","(X)","(X)","(X)","(X)","594","275","0.5","1.1","7.7","9.0","12.8","16.0","55.2","25.6","2.7","3.4","4.2","5.3","6.9","7.4","2.4","3.2","7.6","11.3","0.0","6.5","26784","1323","44125","17845","(X)","(X)","(X)","(X)","20.5","(X)",
"860Z200US89060","ZCTA5 89060","4866","453","5.0","3.2","5.6","3.0","12.6","4.4","9.2","2.4","17.6","5.3","16.9","5.7","12.5","3.3","10.5","3.6","3.1","1.4","7.0","3.8","50000","7483","77911","13163","44.5","(X)","(X)","(X)","(X)","(X)","3004","393","4.0","4.7","4.1","2.8","10.8","5.3","5.1","2.4","18.7","6.6","22.7","8.9","7.8","2.8","12.7","5.1","4.0","2.1","10.2","5.9","60429","9924","91182","19639","(X)","(X)","40.6","(X)","(X)","(X)","2426","409","4.0","5.6","2.6","2.7","7.4","4.5","5.6","2.9","17.5","7.0","26.7","10.7","6.6","2.8","12.6","4.8","4.9","2.7","12.2","7.2","63833","9302","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1862","301","6.7","4.3","8.9","5.5","15.7","6.6","16.6","6.5","20.1","9.1","4.8","3.1","17.5","7.6","6.7","3.8","1.2","1.1","1.8","2.1","37074","7381","50451","7374","(X)","(X)","(X)","(X)","43.5","(X)",
"860Z200US89061","ZCTA5 89061","3502","347","2.4","1.7","0.0","1.1","3.3","2.6","2.8","2.1","18.2","6.5","22.6","6.2","8.1","4.0","28.6","8.9","9.2","4.0","4.9","3.1","77991","17242","95013","9645","41.6","(X)","(X)","(X)","(X)","(X)","2454","353","1.8","2.0","0.0","1.6","1.3","1.6","1.3","1.4","14.1","6.7","24.8","8.4","11.0","5.8","29.5","10.4","10.5","5.1","5.7","4.2","86650","26429","103803","11886","(X)","(X)","41.2","(X)","(X)","(X)","2080","314","1.9","2.3","0.0","1.9","1.5","1.9","1.5","1.6","12.0","7.0","25.6","9.2","11.2","6.5","27.1","10.0","12.4","5.7","6.7","4.9","86100","28050","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1048","287","3.8","3.6","0.0","3.7","7.8","7.8","6.3","6.1","30.7","13.3","17.5","9.6","3.3","3.8","25.8","15.9","1.8","3.2","3.0","3.5","51167","20594","70061","13013","(X)","(X)","(X)","(X)","42.7","(X)",
"860Z200US89439","ZCTA5 89439","1190","140","2.5","4.1","3.8","5.2","13.7","8.2","11.7","9.9","0.5","0.9","4.1","4.5","12.4","7.0","10.9","6.6","18.9","10.8","21.4","8.0","101250","33769","137741","26788","23.6","(X)","(X)","(X)","(X)","(X)","672","139","0.0","5.8","0.0","5.8","2.1","3.1","12.6","10.9","2.8","3.4","0.0","5.8","10.6","8.4","10.4","9.2","23.5","12.3","37.9","12.4","185395","20704","193108","32833","(X)","(X)","35.9","(X)","(X)","(X)","603","138","0.0","6.4","0.0","6.4","2.3","3.5","7.3","11.1","3.2","3.8","0.0","6.4","7.1","5.6","11.6","10.1","26.2","13.6","42.3","13.6","190189","19081","N","N","(X)","(X)","(X)","(X)","(X)","(X)","518","138","5.8","9.3","8.7","12.3","28.8","17.5","16.2","18.9","0.0","7.4","6.9","9.9","14.9","12.4","5.8","8.7","12.9","19.1","0.0","7.4","-","**","60972","27551","(X)","(X)","(X)","(X)","7.7","(X)",
"860Z200US90001","ZCTA5 90001","13671","593","6.1","1.5","2.5","0.9","7.3","1.6","8.6","1.8","17.0","2.5","19.6","3.1","15.4","2.7","14.7","1.9","4.8","1.0","4.0","1.2","60767","4102","75956","4325","43.7","(X)","(X)","(X)","(X)","(X)","11517","652","4.3","1.1","0.8","0.6","6.9","1.7","12.1","2.2","16.8","2.6","19.7","3.2","16.2","3.0","14.4","2.4","4.9","1.1","3.8","1.2","60907","3413","76734","4888","(X)","(X)","44.5","(X)","(X)","(X)","6226","509","1.8","1.1","0.3","0.5","6.2","2.4","7.9","2.7","18.6","3.8","21.7","5.4","14.8","3.6","19.3","3.9","5.7","2.0","3.7","1.6","67847","5887","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2154","304","20.0","6.2","11.8","4.8","12.2","4.9","8.5","3.6","21.6","8.3","9.9","3.5","10.4","4.9","1.9","1.5","0.7","0.7","2.9","2.3","32031","7755","42902","7033","(X)","(X)","(X)","(X)","32.0","(X)",
"860Z200US90002","ZCTA5 90002","13039","517","6.1","1.4","7.5","1.5","9.4","1.9","9.6","1.9","10.4","2.0","16.0","2.7","15.2","2.6","15.3","2.0","7.1","1.7","3.3","1.0","59021","4153","75123","4995","54.2","(X)","(X)","(X)","(X)","(X)","10494","526","3.7","1.0","4.4","1.4","9.2","2.1","10.5","2.3","12.8","2.6","16.5","2.9","16.0","2.7","16.1","2.4","7.3","2.1","3.4","1.2","61951","5680","78543","5878","(X)","(X)","54.1","(X)","(X)","(X)","4624","436","1.1","1.0","3.2","1.7","6.1","2.1","7.8","3.1","12.7","3.5","12.7","3.2","16.5","3.9","22.8","3.9","11.2","3.7","6.0","2.4","83059","4631","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2545","380","19.5","5.5","21.4","5.0","14.3","5.2","8.9","3.9","10.2","5.0","9.8","5.6","9.2","3.6","2.3","1.9","4.0","2.9","0.4","0.7","19443","6069","37387","6159","(X)","(X)","(X)","(X)","46.7","(X)",
"860Z200US90003","ZCTA5 90003","17782","556","8.8","1.7","7.4","1.6","7.9","1.6","8.2","1.4","12.6","1.9","18.8","2.3","13.5","1.8","12.5","1.8","6.4","1.4","4.0","0.9","56030","3054","70030","2809","58.8","(X)","(X)","(X)","(X)","(X)","13723","613","8.0","1.9","4.2","1.6","7.4","1.9","8.8","1.7","13.7","2.3","20.1","2.4","14.2","2.3","13.9","2.1","6.7","1.4","3.0","0.9","59346","4218","71536","3252","(X)","(X)","62.5","(X)","(X)","(X)","6239","472","2.2","1.3","1.1","1.0","4.2","2.1","7.9","2.1","10.9","2.7","25.5","4.0","17.7","3.8","16.3","3.4","9.4","2.4","4.7","1.5","72375","5863","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4059","465","15.7","4.1","19.3","4.1","14.0","4.8","11.3","3.9","11.0","3.8","12.7","4.2","5.9","2.8","3.6","2.3","3.9","2.5","2.6","1.8","25648","4117","43337","5359","(X)","(X)","(X)","(X)","42.3","(X)",
"860Z200US90004","ZCTA5 90004","24208","763","6.5","1.3","4.8","0.8","6.9","1.3","7.1","1.1","12.8","1.6","18.5","2.1","11.6","1.7","13.0","1.7","6.6","1.2","12.1","1.8","64826","3586","109747","8444","40.4","(X)","(X)","(X)","(X)","(X)","12159","761","4.3","1.7","2.7","1.1","6.0","1.6","9.4","1.7","12.6","2.4","15.8","2.8","11.3","2.1","14.4","2.4","6.4","1.6","17.2","2.7","74142","5511","135084","13756","(X)","(X)","48.2","(X)","(X)","(X)","7463","590","2.7","1.4","2.0","1.2","4.4","1.9","6.8","1.8","9.4","2.4","14.0","2.7","12.9","2.9","16.1","3.4","7.9","2.1","23.8","4.0","97832","7185","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12049","810","8.9","2.0","7.4","1.5","9.0","2.0","6.5","1.5","12.9","2.3","18.9","3.1","12.2","2.5","12.0","2.6","6.1","1.8","6.1","1.6","57538","5312","80369","6441","(X)","(X)","(X)","(X)","31.3","(X)",
