CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,Area_Total_Households,Area_Median_Income,Area_Mean_Income,Area_Low_Income_Ratio,Area_High_Income_Ratio,Income_Charge_Ratio,Area_Income_Level
3668-QPYBK,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,17782.0,56030.0,70030.0,32.3,22.9,0.011533107263965732,Low
9237-HQITU,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,18289.0,49419.0,83299.0,36.2,25.5,0.017167486189522248,Low
9305-CDSKC,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,19709.0,51998.0,69243.0,33.8,19.6,0.022997038347628753,Low
7892-POOKP,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,2696.0,101455.0,132434.0,17.3,51.2,0.012395643388694495,High
0280-XJGEX,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,13366.0,69268.0,106533.0,31.9,38.2,0.017965005485938674,Low
4190-MFLUW,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,17942.0,61184.0,90287.0,27.6,26.4,0.010826359832635983,Low
8779-QRDMV,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,16968.0,67967.0,85973.0,25.3,31.9,0.007000456103697382,Low
1066-JKSGK,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.149999999999999,Yes,1,92,4832,Competitor made better offer,16771.0,76583.0,159054.0,29.8,41.099999999999994,0.0031573586827363773,Medium
6467-CHFZW,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.1499999999996,Yes,1,77,5789,Competitor had better devices,18807.0,61349.0,84157.0,33.7,29.0,0.019433079593799408,Low
8665-UTDHZ,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,13298.0,60440.0,87177.0,31.300000000000004,28.800000000000004,0.005996029119788219,Low
8773-HHUOZ,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,Female,No,No,No,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.0999999999999,Yes,1,74,3022,Competitor offered higher download speeds,13603.0,82292.0,109070.0,20.8,41.4,0.009434695960725223,Medium
6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.89999999999998,Yes,1,66,2454,Competitor offered higher download speeds,12476.0,113818.0,162471.0,14.7,54.900000000000006,0.0073485740392556535,High
