CustomerID,Contract,Internet Service,City_Charge_Ratio,Monthly Charges,Churn_Probability,Retention_Action_Plan
7216-EWTRS,Month-to-month,Fiber optic,0.008546,100.8,0.922427,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8603-IJWDN,Month-to-month,Fiber optic,0.008137,86.6,0.921191,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1069-XAIEM,Month-to-month,Fiber optic,0.013871,85.05,0.920124,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8149-RSOUN,Month-to-month,Fiber optic,0.023841,93.85,0.919176,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5494-HECPR,Month-to-month,Fiber optic,0.010461,80.25,0.917776,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3068-OMWZA,Month-to-month,Fiber optic,0.017535,88.8,0.916928,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8580-AECUZ,Month-to-month,Fiber optic,0.007207,79.1,0.916901,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5178-LMXOP,Month-to-month,Fiber optic,0.012516,95.1,0.916499,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2720-WGKHP,Month-to-month,Fiber optic,0.008031,94.0,0.916066,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7024-OHCCK,Month-to-month,Fiber optic,0.011734,93.85,0.915768,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1415-YFWLT,Month-to-month,Fiber optic,0.007558,89.3,0.915614,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3158-MOERK,Month-to-month,Fiber optic,0.010074,96.0,0.915572,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5419-JPRRN,Month-to-month,Fiber optic,0.011795,101.45,0.915425,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0107-YHINA,Month-to-month,Fiber optic,0.017681,99.75,0.91513,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4826-XTSOH,Month-to-month,Fiber optic,0.020899,86.05,0.915001,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5960-WPXQM,Month-to-month,Fiber optic,0.014033,79.05,0.913238,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5597-GLBUC,Month-to-month,Fiber optic,0.020587,85.45,0.912759,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3722-WPXTK,Month-to-month,Fiber optic,0.015527,88.35,0.912572,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3988-RQIXO,Month-to-month,Fiber optic,0.006264,91.3,0.91257,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0970-ETWGE,Month-to-month,Fiber optic,0.027143,89.55,0.91221,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7439-DKZTW,Month-to-month,Fiber optic,0.006425,80.55,0.912009,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9300-RENDD,Month-to-month,Fiber optic,0.007757,79.95,0.912009,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5192-EBGOV,Month-to-month,Fiber optic,0.006053,85.7,0.910379,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9300-AGZNL,Month-to-month,Fiber optic,0.027805,94.0,0.910327,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2725-KXXWT,Month-to-month,Fiber optic,0.011743,90.75,0.909723,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5277-ZLOOR,Month-to-month,Fiber optic,0.010244,85.55,0.909379,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3027-ZTDHO,Month-to-month,Fiber optic,0.026948,89.9,0.908341,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4910-GMJOT,Month-to-month,Fiber optic,0.005137,94.6,0.90712,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2868-MZAGQ,Month-to-month,Fiber optic,0.013049,79.25,0.907091,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2609-IAICY,Month-to-month,Fiber optic,0.013024,77.15,0.906136,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7851-WZEKY,Month-to-month,Fiber optic,0.01017,95.15,0.906065,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0295-PPHDO,Month-to-month,Fiber optic,0.012243,95.45,0.905998,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9497-QCMMS,Month-to-month,Fiber optic,0.010736,93.55,0.905998,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9282-IZGQK,Month-to-month,Fiber optic,0.009602,85.0,0.905985,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1143-NMNQJ,Month-to-month,Fiber optic,0.010066,85.7,0.905636,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4424-TKOPW,Month-to-month,Fiber optic,0.01596,93.85,0.905098,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
8884-ADFVN,Month-to-month,Fiber optic,0.012167,101.95,0.904243,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
3049-SOLAY,Month-to-month,Fiber optic,0.010265,95.2,0.904025,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
7594-RQHXR,Month-to-month,Fiber optic,0.009359,79.6,0.903436,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1455-ESIQH,Month-to-month,Fiber optic,0.008233,89.1,0.903428,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
2514-GINMM,Month-to-month,Fiber optic,0.00668,79.5,0.90323,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6861-XWTWQ,Month-to-month,Fiber optic,0.011323,99.25,0.903019,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4695-WJZUE,Month-to-month,Fiber optic,0.007836,88.55,0.902991,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9546-CQJSU,Month-to-month,Fiber optic,0.012272,91.4,0.902685,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1304-NECVQ,Month-to-month,Fiber optic,0.006005,78.55,0.902306,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
0318-QUUOB,Month-to-month,Fiber optic,0.009844,80.55,0.90171,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1363-TXLSL,Month-to-month,Fiber optic,0.013963,70.3,0.899656,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
9725-SCPZG,Month-to-month,Fiber optic,0.011784,90.85,0.89952,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
1374-DMZUI,Month-to-month,Fiber optic,0.00612,94.3,0.899254,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
5567-WSELE,Month-to-month,Fiber optic,0.01389,94.6,0.899186,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
6457-USBER,Month-to-month,Fiber optic,0.031277,80.8,0.89892,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
4927-WWOOZ,Month-to-month,Fiber optic,0.010346,91.45,0.898466,장기 약정(1~2년) 전환 유도 및 결합 쿠폰 제공
